channel,year,month,revenue,units
Online,2022,1,444382.92505677784,10870
Online,2022,2,425516.57814906095,10219
Online,2022,3,429725.6098035018,10376
Online,2022,4,533203.8013421439,12565
Online,2022,5,491817.20601008,12182
Online,2022,6,488218.32326729904,11592
Online,2022,7,396407.29330761,9721
Online,2022,8,450782.4037701847,10869
Online,2022,9,406021.2738140597,10095
Online,2022,10,482174.9231890637,11709
Online,2022,11,594174.4810628856,14186
Online,2022,12,544208.9112980362,13224
Online,2023,1,435696.97444569453,10569
Online,2023,2,472098.0813743595,11524
Online,2023,3,448387.0194174305,11101
Online,2023,4,528241.7668001074,12816
Online,2023,5,512710.38823114533,12535
Online,2023,6,496426.3132339581,12072
Online,2023,7,462257.1964135939,11184
Online,2023,8,475561.957639133,11370
Online,2023,9,466426.3109292523,11277
Online,2023,10,504644.2890586754,12269
Online,2023,11,490076.4209286478,11907
Online,2023,12,520050.97043984424,12318
Online,2024,1,466207.8825631026,11453
Online,2024,2,475537.64043969737,11988
Online,2024,3,485722.4439759034,11956
Online,2024,4,449652.88518133917,11011
Online,2024,5,533717.438571173,12818
Online,2024,6,545893.1406639937,13032
Online,2024,7,457306.16701469215,11208
Online,2024,8,443556.6911936162,10972
Online,2024,9,454155.9446311276,11109
Online,2024,10,498224.1540808938,12150
Online,2024,11,489167.8935870713,11943
Online,2024,12,457029.060695615,11177
Retail,2022,1,477533.79163310985,11766
Retail,2022,2,529331.1797292317,12977
Retail,2022,3,568304.2681836727,13537
Retail,2022,4,602192.4078776777,14737
Retail,2022,5,678447.4064306567,16019
Retail,2022,6,628155.249275423,15144
Retail,2022,7,572105.565582402,13722
Retail,2022,8,554519.5666886725,13576
Retail,2022,9,609094.3544115148,14677
Retail,2022,10,538611.4807125959,13214
Retail,2022,11,641032.3071792783,15438
Retail,2022,12,574832.4353754305,13845
Retail,2023,1,537536.7414850509,13270
Retail,2023,2,522221.3395259131,12986
Retail,2023,3,578474.065705927,14207
Retail,2023,4,665188.3089936054,16068
Retail,2023,5,652084.7960989086,15925
Retail,2023,6,608761.3078527093,14838
Retail,2023,7,568420.4497087357,13943
Retail,2023,8,611962.328030765,14329
Retail,2023,9,582686.311920656,14074
Retail,2023,10,669422.0530798371,15952
Retail,2023,11,675359.9437729529,16481
Retail,2023,12,585754.257086181,14275
Retail,2024,1,578573.7176089528,14377
Retail,2024,2,519350.069677431,12848
Retail,2024,3,577392.2461449399,13960
Retail,2024,4,606663.4132258509,14617
Retail,2024,5,595801.270006165,14458
Retail,2024,6,705289.5910921121,17482
Retail,2024,7,643486.84970568,15872
Retail,2024,8,550580.1030566597,13125
Retail,2024,9,617480.7935670754,14978
Retail,2024,10,713835.2631757098,17034
Retail,2024,11,600382.6341344136,14302
Retail,2024,12,721463.1702895289,17661
Wholesale,2022,1,706482.4461917467,17059
Wholesale,2022,2,753937.1837940224,18811
Wholesale,2022,3,681184.3825371144,16110
Wholesale,2022,4,847180.3829299947,20717
Wholesale,2022,5,903053.5813889818,21703
Wholesale,2022,6,807438.0420214124,19425
Wholesale,2022,7,590370.4362947406,14654
Wholesale,2022,8,702673.0898629403,17442
Wholesale,2022,9,665670.0847754717,16217
Wholesale,2022,10,785614.6256915214,19148
Wholesale,2022,11,732176.5737196897,17782
Wholesale,2022,12,786549.0503496379,19200
Wholesale,2023,1,726074.029499853,17686
Wholesale,2023,2,759406.6206207192,18433
Wholesale,2023,3,732563.6702313374,17862
Wholesale,2023,4,869191.3251189102,20937
Wholesale,2023,5,824962.046110897,19943
Wholesale,2023,6,1010964.7552160099,24205
Wholesale,2023,7,723486.2814413082,17844
Wholesale,2023,8,795595.473259812,19505
Wholesale,2023,9,619617.3463287291,15352
Wholesale,2023,10,823219.5356722756,19854
Wholesale,2023,11,943577.4171083116,22879
Wholesale,2023,12,894678.4144111058,21741
Wholesale,2024,1,766260.2203102226,18573
Wholesale,2024,2,690399.9600162564,16797
Wholesale,2024,3,723813.6409281326,17793
Wholesale,2024,4,975278.2569745135,23307
Wholesale,2024,5,906544.3664019093,21714
Wholesale,2024,6,849450.317571263,20876
Wholesale,2024,7,719499.1710577969,17578
Wholesale,2024,8,622964.6309740893,15747
Wholesale,2024,9,724927.0289271394,17585
Wholesale,2024,10,887362.3226612499,21652
Wholesale,2024,11,733633.370407319,18165
Wholesale,2024,12,736265.6194264638,18045
